Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
448,Andrew Wiggins,SF,27,GSW,15,15,33.1,7,14.2,0.493,2.5,6.3,0.404,4.5,7.9,0.563,0.582,1.6,2.3,0.686,1.6,4,5.6,2.3,1.2,0.9,1.4,3,18.1
449,Grant Williams,PF,24,BOS,15,7,28.7,3.5,6,0.578,1.8,3.7,0.482,1.7,2.3,0.735,0.728,1.3,1.6,0.833,0.7,4,4.7,1.7,0.6,0.5,0.9,2.7,10.1
450,Jalen Williams,SG,21,OKC,12,4,24.1,3.9,7.5,0.522,0.8,2.5,0.3,3.2,5,0.633,0.572,0.6,0.7,0.875,0.4,2.5,2.9,3.1,0.9,0.3,1.4,2.7,9.2
451,Jaylin Williams,PF,20,OKC,5,0,7,1,2.2,0.455,0,0.4,0,1,1.8,0.556,0.455,0.8,1.2,0.667,1,1,2,0.6,0.2,0,0.4,1.2,2.8
452,Kenrich Williams,PF,28,OKC,15,2,20.2,2.6,5.3,0.494,0.6,1.7,0.346,2,3.5,0.566,0.551,0.2,0.6,0.333,1.7,2.3,3.9,1.5,0.7,0.2,0.4,1.9,6
453,Mark Williams,C,21,CHO,3,0,4.3,1.3,2.3,0.571,0,0,0,1.3,2.3,0.571,0.571,1,1,1,1.3,1.3,2.7,0,0,0,0.7,1,3.7
454,Patrick Williams,PF,21,CHI,16,16,25.5,3.5,7.4,0.471,1.1,2.9,0.391,2.4,4.6,0.521,0.546,1.1,1.1,0.944,1.2,2.8,3.9,0.8,0.8,1,1.5,1.8,9.2
455,Vince Williams Jr.,SG,22,MEM,3,0,6,0.3,2,0.167,0,1.7,0,0.3,0.3,1,0.167,0,0,0,0.3,0.7,1,0.7,0.7,0.3,0,1.3,0.7
456,Zion Williamson,PF,22,NOP,11,11,32.2,9,15.9,0.566,0.3,0.5,0.5,8.7,15.4,0.568,0.574,5.3,7.4,0.716,2.1,4.3,6.4,3.9,1.1,0.3,2.7,2.7,23.5
457,Justise Winslow,SF,26,POR,13,4,26.8,2.8,7.2,0.383,0.4,1.6,0.238,2.4,5.6,0.425,0.41,1,1.5,0.65,1.5,3.2,4.8,3.6,1.2,0.5,1.5,2.9,6.9
458,James Wiseman,C,21,GSW,11,0,13.4,2.7,4.6,0.588,0,0,0,2.7,4.6,0.588,0.588,1.4,2.1,0.652,1,2.8,3.8,1,0.1,0.4,0.7,2.4,6.8
459,Christian Wood,PF,27,DAL,13,0,25.2,6.5,11.3,0.571,1.5,3.4,0.432,5,7.9,0.631,0.636,3.2,4.5,0.695,1.2,6.3,7.5,0.9,0.5,0.5,2.4,2.8,17.5
460,Delon Wright,PG,30,WAS,4,0,22.8,2.5,6,0.417,0.8,3,0.25,1.8,3,0.583,0.479,0.8,1.3,0.6,1,1.5,2.5,3.3,2.8,1,1,1.3,6.5
461,McKinley Wright IV,PG,24,DAL,1,0,5,1,4,0.25,0,1,0,1,3,0.333,0.25,0,0,0,1,1,2,2,1,0,0,0,2
462,Thaddeus Young,PF,34,TOR,14,4,16.4,2.3,4.1,0.561,0.1,0.8,0.091,2.2,3.3,0.674,0.57,0.6,0.7,0.8,1.8,2,3.8,1.6,1.1,0.1,0.6,1.6,5.2
463,Trae Young,PG,24,ATL,15,15,35.2,8.8,22.3,0.394,2.3,7.2,0.315,6.5,15.1,0.432,0.445,7.5,8.3,0.896,0.9,2.4,3.3,9.5,0.9,0.2,3.3,1.4,27.3
464,Ivica Zubac,C,25,LAC,17,17,30.6,3.6,6.4,0.574,0,0.1,0,3.6,6.3,0.579,0.574,2.2,3.5,0.633,2.9,8.2,11.1,1.4,0.5,1.9,2.2,3.1,9.5
